DiseaseCode,DiseaseName,Occurances,Symptoms
C0020538,hypertensive disease,3363,"UMLS:C0008031_pain
  chest"
C0020538,hypertensive disease,3363,"UMLS:C0392680_shortness
  of breath"
C0020538,hypertensive disease,3363,UMLS:C0012833_dizziness
C0020538,hypertensive disease,3363,UMLS:C0004093_asthenia
C0020538,hypertensive disease,3363,UMLS:C0085639_fall
C0020538,hypertensive disease,3363,UMLS:C0039070_syncope
C0020538,hypertensive disease,3363,UMLS:C0042571_vertigo
C0020538,hypertensive disease,3363,"UMLS:C0038990_sweat^UMLS:C0700590_sweating
  increased"
C0020538,hypertensive disease,3363,UMLS:C0030252_palpitation
C0020538,hypertensive disease,3363,UMLS:C0027497_nausea
C0020538,hypertensive disease,3363,"UMLS:C0002962_angina
  pectoris"
C0020538,hypertensive disease,3363,"UMLS:C0438716_pressure
  chest"
C0011847,diabetes,1421,UMLS:C0032617_polyuria
C0011847,diabetes,1421,UMLS:C0085602_polydypsia
C0011847,diabetes,1421,"UMLS:C0392680_shortness
  of breath"
C0011847,diabetes,1421,"UMLS:C0008031_pain
  chest"
C0011847,diabetes,1421,UMLS:C0004093_asthenia
C0011847,diabetes,1421,UMLS:C0027497_nausea
C0011847,diabetes,1421,UMLS:C0085619_orthopnea
C0011847,diabetes,1421,UMLS:C0034642_rale
C0011847,diabetes,1421,"UMLS:C0038990_sweat^UMLS:C0700590_sweating
  increased"
C0011847,diabetes,1421,UMLS:C0241526_unresponsiveness
C0011847,diabetes,1421,"UMLS:C0856054_mental
  status changes"
C0011847,diabetes,1421,UMLS:C0042571_vertigo
C0011847,diabetes,1421,UMLS:C0042963_vomiting
C0011847,diabetes,1421,UMLS:C0553668_labored breathing
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,"UMLS:C0424000_feeling
  suicidal"
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0438696_suicidal
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,"UMLS:C0233762_hallucinations
  auditory"
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,"UMLS:C0150041_feeling
  hopeless"
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0424109_weepiness
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0917801_sleeplessness
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,"UMLS:C0424230_motor
  retardation"
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,"UMLS:C0022107_irritable
  mood"
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0312422_blackout
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,"UMLS:C0344315_mood
  depressed"
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,"UMLS:C0233763_hallucinations
  visual"
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0233481_worry
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0085631_agitation
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0040822_tremor
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0728899_intoxication
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,"UMLS:C0424068_verbal
  auditory hallucinations"
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,"UMLS:C0455769_energy
  increased"
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,UMLS:C1299586_difficulty
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0028084_nightmare
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,"UMLS:C0235198_unable
  to concentrate"
C0011570,depression mental^UMLS:C0011581_depressive disorder,1337,UMLS:C0237154_homelessness
